Name;CategoryDSK;Agriculture;iLUC;FoodProcessing;Packaging;Transport;Retail;CO2;CategoryGPC
Potato flour;Fruit/vegetable products;0,77;0,07;0,14;0,20;0,12;0,01;1,31;Fruits/vegetables/nuts/seeds prepared/processed
Peas, green, canned;Fruit/vegetable products;0,58;0,18;0,20;0,22;0,17;0,01;1,36;Fruits/vegetables/nuts/seeds prepared/processed
Soya sauce;Seasonings/preservatives/extracts;0,20;-0,01;0,27;0,85;0,18;0,01;1,49;Seasonings/preservatives/extracts
Sauce, barbeque;Seasonings/preservatives/extracts;0,51;0,04;1,10;0,42;0,10;0,01;2,18;Seasonings/preservatives/extracts
Wine, white, average values;Beverages;0,31;0,07;0,40;0,41;0,68;0,01;1,87;Beverages
Wine, rosé;Beverages;0,31;0,07;0,40;0,41;0,68;0,01;1,87;Beverages
Wine, red;Beverages;0,31;0,07;0,40;0,41;0,68;0,01;1,87;Beverages
Wine, white, sparkling, champagne;Beverages;0,31;0,07;0,40;0,41;0,68;0,01;1,87;Beverages
Yeast, baker`s, compressed;Bread/bakery products;0,00;0,26;0,92;0,20;0,07;0,00;1,45;Bread/bakery products
Cocktail sausages;Meat/poultry;1,14;0,20;0,37;0,02;0,09;0,00;1,81;Meat/poultry/other animals
Pesto;Seasonings/preservatives/extracts;0,63;0,78;1,38;0,64;0,39;0,01;3,83;Seasonings/preservatives/extracts
Lasagne, beef, ready meals;Prepared/preserved foods;6,68;1,31;0,01;0,64;0,21;0,00;8,85;Prepared/preserved foods
Lasagne, vegetarian, ready meals;Prepared/preserved foods;0,46;0,10;0,30;0,64;0,24;0,00;1,74;Prepared/preserved foods
Daal, ready meals;Prepared/preserved foods;0,40;0,16;0,42;0,64;0,22;0,00;1,85;Prepared/preserved foods
Sushi, ready meals;Prepared/preserved foods;0,19;0,26;1,24;0,64;0,18;0,00;2,51;Prepared/preserved foods
Minced chicken;Meat/poultry;2,96;0,73;-0,22;0,14;0,16;0,00;3,76;Meat/poultry/other animals
